Border,Date,Measure,Value,Average
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5504073464,3062325138
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5492483461,3057988107
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,2584776249,1347353347
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2578651449,1345155437
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,1056699751,535552502
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,1052767906,534626840
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,179543288,84075691
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,179143648,83906122
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,143388212,80279328
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,143211645,80167234
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,64852271,30418310
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,64712706,30357148
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,38891558,16934432
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,38846467,16895432
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,21477185,8921766
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,21427839,8899465
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,8604318,4698369
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8591339,4691431
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,6287351,3063445
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,6286500,3057718
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,912969,468162
US-Canada Border,06/01/2019 12:00:00 AM,Trains,912005,467372
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,5487075617,3053656265
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicle Passengers,5475914062,3049318619
US-Mexico Border,05/01/2019 12:00:00 AM,Personal Vehicles,2575818568,1342960605
US-Canada Border,05/01/2019 12:00:00 AM,Personal Vehicles,2569731561,1340762997
US-Mexico Border,05/01/2019 12:00:00 AM,Pedestrians,1052701192,533704881
US-Canada Border,05/01/2019 12:00:00 AM,Pedestrians,1048556707,532779754
